date,instrument,realized_range_atr,rth_ret_pct,on_ret_pct
2023-03-03,SPY,1.045467,1.158775,0.4399085
2023-03-07,SPY,1.327456,-1.53287,0.0
2023-03-08,SPY,0.5819689,0.1430902,0.02008688
2023-03-09,SPY,2.087845,-2.038978,0.1980347
2023-03-14,SPY,1.060015,0.3303965,1.318248
2023-03-15,SPY,0.9140594,0.8889465,-1.501034
2023-03-16,SPY,1.569573,2.388399,-0.6190917
2023-03-17,SPY,0.8753273,-0.7961945,-0.7548408
2023-03-20,SPY,0.5906989,0.7574594,0.2025693
2023-03-22,SPY,1.462445,-1.652872,-0.05264345
2023-03-23,SPY,1.205535,-0.4683307,0.7421387
2023-03-24,SPY,0.8506062,1.003012,-0.3433629
2023-03-27,SPY,0.4315003,-0.4219303,0.6114972
2023-03-28,SPY,0.3721637,-0.05558082,-0.1689828
2023-03-29,SPY,0.3839269,0.385183,1.064206
2023-04-03,SPY,0.4530094,0.4964296,-0.114805
2023-04-04,SPY,0.767303,-0.7022062,0.1484365
2023-04-05,SPY,0.4759932,-0.06129705,-0.2006509
2023-04-06,SPY,0.7102128,0.5850397,-0.1938175
2023-04-10,SPY,0.7341415,0.7278987,-0.6207385
2023-04-11,SPY,0.4448227,-0.119451,0.1464808
2023-04-12,SPY,0.9841956,-0.9106362,0.5076638
2023-04-13,SPY,1.170183,1.048438,0.2769268
2023-04-17,SPY,0.7083773,0.3661227,-0.007273433
2023-04-19,SPY,0.721261,0.4779581,-0.4925038
2023-04-20,SPY,0.899689,0.1385816,-0.6833438
2023-04-21,SPY,0.6452327,0.0,0.07769253
2023-04-24,SPY,0.6770546,0.1553436,-0.05094614
2023-04-25,SPY,1.428145,-1.088783,-0.5040836
2023-04-26,SPY,1.088701,-0.6071332,0.1846927
2023-04-27,SPY,1.557621,1.394011,0.5885844
2023-04-28,SPY,1.088264,1.088832,-0.2327781
2023-05-02,SPY,1.665818,-0.9499012,-0.1756877
2023-05-03,SPY,1.377628,-0.8095296,0.1241359
2023-05-04,SPY,0.7901719,-0.4374432,-0.2720455
2023-05-05,SPY,1.155198,0.9146714,0.9280972
2023-05-08,SPY,0.4075403,-0.0387503,0.06543392
2023-05-09,SPY,0.2919135,-0.03892092,-0.3997674
2023-05-10,SPY,1.213198,-0.2560943,0.7251843
2023-05-11,SPY,0.5132255,0.04855194,-0.2228412
