date,instrument,direction,inside_day,b5_origin,rev10,rev20,rev30,rev40,dist_atr,vol_ratio,prevday_body,poc_dist_atr,on_ret_pct
2023-05-01,SPY,1,0,1,0,1,1,1,0.04999235,0.7437668,0.9933481,0.8927205,-0.1322338
2023-05-19,SPY,1,0,2,2,2,2,1,0.1854897,1.152459,0.8537074,1.944289,0.2313766
2023-05-30,SPY,1,0,2,2,2,2,1,0.2354046,1.356702,0.8413418,0.609423,0.4714061
2023-06-02,SPY,1,0,2,2,2,1,1,0.7010176,1.37046,0.6117455,1.858827,0.621118
2023-06-05,SPY,1,0,1,2,2,1,1,0.05445776,0.6521542,0.7265136,2.437529,0.09113853
2023-06-09,SPY,1,0,2,0,1,1,1,0.227661,1.088554,0.6578249,0.6116951,0.1840934
2023-06-13,SPY,1,0,2,2,1,1,1,0.6254061,1.438702,0.7913279,1.95809,0.3342554
2023-06-23,SPY,-1,0,2,2,1,1,1,0.09133047,0.9802763,0.84,-0.5672103,-0.8086871
2023-06-30,SPY,1,0,2,0,0,1,1,0.9817637,1.401959,0.7992701,1.494846,0.755518
2023-07-12,SPY,1,0,2,0,1,1,1,0.5683582,1.375688,0.5568182,0.8469652,0.8859558
2023-07-13,SPY,1,0,2,0,0,1,1,0.2110284,1.018263,-0.1411765,2.286587,0.4215058
2023-07-14,SPY,1,0,2,2,2,1,1,0.04556868,0.8658941,0.5694683,2.825258,0.2224397
2023-07-19,SPY,1,0,2,2,1,1,1,0.2747498,1.241311,0.76875,0.451569,0.1805412
2023-07-27,SPY,1,0,2,2,2,2,2,0.6722369,1.034159,0.2833333,1.498466,0.7617835
2023-08-03,SPY,-1,0,2,2,2,1,1,0.3679299,1.114137,-0.7601918,-2.38088,-0.4643103
2023-08-11,SPY,-1,0,2,2,2,1,1,0.1730264,0.9326597,-0.3204578,-1.338792,-0.4417932
2023-08-18,SPY,-1,0,2,0,2,2,1,0.254526,1.936084,-0.8221831,-2.404094,-0.6234385
2023-08-30,SPY,1,0,2,0,1,1,1,0.08169358,0.9092684,0.9356223,1.953047,0.0912815
2023-08-31,SPY,1,0,2,0,1,1,1,0.01207157,0.7061496,0.4991334,1.756413,0.15299
2023-09-21,SPY,-1,0,2,0,0,0,1,0.9692409,1.484424,-0.8959201,-2.278243,-0.6679737
2023-09-25,SPY,-1,0,2,2,2,1,1,0.05789111,0.970208,-0.5042631,-3.292557,-0.2880907
2023-10-23,SPY,-1,0,2,2,2,2,2,0.4997924,1.348389,-0.8571429,-2.977169,-0.3822503
2023-10-26,SPY,-1,0,2,0,0,0,0,0.02040697,1.309943,-0.8909276,-0.9485161,-0.2754161
2023-11-02,SPY,1,0,2,0,0,0,1,0.3950647,1.493388,0.7154639,1.970193,0.9227275
2023-11-03,SPY,1,0,2,0,0,1,1,0.5370437,1.064915,0.9655172,3.102454,0.5409044
2023-11-08,SPY,1,0,1,2,2,1,1,0.01466544,0.7966971,0.4039088,0.487626,0.128167
2023-11-14,SPY,1,0,2,0,0,1,1,1.156706,1.853112,0.3442341,1.299473,1.372135
2023-11-15,SPY,1,0,2,0,1,1,1,0.005648958,0.9486699,0.6297229,1.786954,0.3053061
2023-11-20,SPY,1,0,1,0,0,0,1,0.05776117,0.6925076,0.2863962,0.3618247,-0.04658488
2023-11-22,SPY,1,1,1,2,2,1,1,0.2286318,0.9366044,0.07142857,1.39454,0.3574029
2023-11-29,SPY,1,0,2,2,2,2,1,0.3424821,1.030723,0.2971014,0.7267303,0.485789
2023-12-13,SPY,1,0,2,0,0,0,0,0.08074872,0.7783363,0.6935933,2.548917,0.0797242
2023-12-14,SPY,1,0,2,2,2,2,2,0.7384056,2.154732,0.9095023,3.723148,0.4250797
2023-12-28,SPY,1,0,2,1,1,1,1,0.04967622,0.5780525,0.6171429,0.3377983,0.06295776
2024-01-12,SPY,1,0,1,2,2,2,1,0.06480305,0.8784084,-0.2013652,2.814485,0.3085966
2024-01-22,SPY,1,0,2,2,1,1,1,0.3862674,1.319219,0.8197574,1.773319,0.3254358
2024-01-24,SPY,1,1,2,0,2,1,1,0.4994193,0.8999069,0.3566591,2.5482,0.6001732
2024-02-09,SPY,1,0,2,0,0,1,1,0.1329238,0.717675,0.1527778,0.2893047,0.1063574
2024-02-22,SPY,1,0,2,0,0,0,0,0.03719622,1.564205,0.4488189,1.503165,1.353553
2024-02-23,SPY,1,0,2,2,2,1,1,0.3239988,0.9984868,0.6514181,2.69762,0.3408867
2024-03-08,SPY,1,0,1,0,2,2,2,0.1427909,0.9476441,0.4783784,0.811312,0.13403
2024-03-21,SPY,1,0,2,2,1,1,1,0.5504762,0.9708849,0.8462929,1.619048,0.5475715
2024-04-02,SPY,-1,0,2,2,1,1,1,0.231283,1.682267,-0.4852941,-1.461511,-0.7507277
2024-05-03,SPY,1,0,2,0,2,1,1,0.04638735,1.398008,0.1471519,0.412997,1.207849
2024-05-06,SPY,1,0,2,0,0,1,1,0.2585339,0.8703049,0.04020101,0.9228875,0.4889593
2024-05-07,SPY,1,0,2,0,1,1,1,0.1424936,0.6774374,0.8398792,1.429583,0.1839054
2024-05-10,SPY,1,0,2,2,2,1,1,0.3635676,0.8665499,0.8097282,1.934321,0.3114366
2024-05-15,SPY,1,0,2,2,0,0,1,0.4649848,1.023745,0.7003058,1.064518,0.4834703
2024-05-23,SPY,1,0,2,2,2,2,2,0.05239831,1.151248,-0.2275132,0.5377721,0.5794311
2024-05-30,SPY,-1,0,2,0,0,0,1,0.09118824,0.8329403,0.1865285,-1.412115,-0.3079262
2024-06-06,SPY,1,0,2,2,2,1,1,0.1586402,1.002513,0.660473,1.717173,0.05610938
2024-06-12,SPY,1,0,2,0,2,1,1,1.117784,1.527476,0.5766129,1.57479,0.8641401
2024-06-20,SPY,1,0,2,2,2,2,2,0.273913,0.9276282,0.7204301,1.734783,0.1804955
2024-07-05,SPY,1,0,1,2,0,1,1,0.09616414,0.7921952,0.8791209,1.850847,0.05077431
